b1px,b1py,b1pz,b1e,b2px,b2py,b2pz,b2e,a1px,a1py,a1pz,a1e,a2px,a2py,a2pz,a2e,class,weight
548.861,65.2197,-451.047,713.655,-166.956,119.699,102.136,230.034,-333.202,-166.316,656.725,754.965,-32.7346,-54.2445,51.0546,81.3671,1,2.8273e-09
24.8471,-36.435,27.9456,52.7682,9.83316,-31.9373,-104.558,109.887,-25.49,-22.4325,68.7657,76.6921,-2.67749,11.5316,-3.99621,12.4947,1,2.8273e-09
73.4739,-80.0018,95.9615,146.636,15.3127,-67.175,101.981,123.675,-115.504,57.9258,-59.3899,142.21,-6.5395,100.949,-0.0781649,101.161,1,2.8273e-09
562.161,-85.3086,594.399,822.992,41.543,-35.5768,48.9694,74.0204,-670.59,173.877,-412.382,806.215,-3.12705,16.6432,-19.8475,26.0902,1,2.8273e-09
-9.35324,71.3618,41.0835,83.0407,-5.76619,64.6445,130.69,146.057,23.9711,-89.9949,-184.662,206.818,-46.5754,-58.8545,-23.8283,78.7458,1,2.8273e-09
20.6271,45.5601,47.5801,69.17,31.462,-25.0563,-19.7822,44.8906,-119.595,-11.9173,57.9553,133.431,-89.6201,-67.3014,-51.8692,123.498,1,2.8273e-09
47.9161,88.0908,-19.1831,102.475,34.942,-20.6317,0.472195,41.1446,-68.6681,-6.89346,-63.2277,93.5979,-41.2071,-55.0744,46.7997,83.1951,1,2.8273e-09
115.308,-6.29355,-92.0281,147.75,-19.3053,47.6052,-211.013,217.261,-73.6284,74.2292,-177.26,205.797,-89.3986,-44.1853,-239.871,259.774,1,2.8273e-09
89.6191,103.455,-67.1211,153.475,-65.4769,39.6864,-19.6691,79.4384,-112.765,-192.293,82.9097,237.838,-18.3264,2.71189,55.5107,58.5205,1,2.8273e-09
-88.1573,-102.594,180.47,225.965,-28.0582,-52.0416,210.222,218.429,150.69,132.433,158.424,255.624,-16.2287,29.2389,72.2572,79.6203,1,2.8273e-09
-62.1246,47.1199,291.39,301.689,51.6545,33.5164,-158.958,170.613,-62.1971,-80.5485,-96.8583,140.492,-42.1751,11.4414,25.6642,50.6784,1,2.8273e-09
