ptb1,ptb2,pta1,pta2,ptaa,etab1,etab2,etaa1,etaa2,etaaa,mbb,maa,sqrts,drbamin,drba1,dphiba1,dphibb,class,weight
552.723,205.432,372.404,63.3564,427.266,-0.745149,0.478687,1.33256,0.737216,1.27857,767.309,126.266,1743.03,1.38068,3.48419,2.7969,2.40131,1,2.8273e-09
44.1008,33.4168,33.9552,11.8384,30.2032,0.597486,-1.85844,1.45484,-0.331461,1.50643,121.284,53.3569,238.658,1.68246,1.68246,1.44763,0.299835,1,2.8273e-09
108.622,68.8982,129.215,101.161,200.339,0.796512,1.18371,-0.444808,-0.000772679,-0.292642,65.9002,124.728,493.408,2.5892,3.04321,2.77854,0.518767,1,2.8273e-09
568.597,54.6949,692.766,16.9344,700.138,0.9131,0.805384,-0.564764,-0.99794,-0.583645,107.877,125.369,1713.54,2.69985,3.37883,3.03849,0.557587,1,2.8273e-09
71.9721,64.9011,93.1327,75.0541,150.556,0.543648,1.44974,-1.43591,-0.312376,-1.12912,65.2175,124.143,511.802,2.96388,3.60394,3.0116,0.041362,1,2.8273e-09
50.012,40.2203,120.187,112.077,223.711,0.846569,-0.473907,0.465242,-0.447694,0.027202,95.4117,126.209,329.164,1.82512,2.12967,2.09525,1.8182,1,2.8273e-09
100.279,40.5784,69.0132,68.7838,126.145,-0.190149,0.0116363,-0.820837,0.636526,-0.129866,94.1287,122.773,317.284,1.79224,2.25886,2.16903,1.60599,1,2.8273e-09
115.48,51.3707,104.552,99.7218,165.772,-0.73026,-2.1205,-1.2985,-1.61151,-1.65326,174.574,123.601,402.038,2.47283,2.47283,2.40666,2.01059,1,2.8273e-09
136.874,76.5652,222.919,18.5259,230.491,-0.472595,-0.254148,0.363847,1.8173,0.569293,160.136,124.667,513.681,3.0741,3.0741,2.95811,1.73975,1,2.8273e-09
135.267,59.1236,200.614,33.4408,210.28,1.09912,1.98089,0.724601,1.5133,0.948341,86.1863,122.302,470.479,2.1909,3.02493,3.00166,0.215384,1,2.8273e-09
77.9728,61.5755,101.767,43.6995,125.177,2.02889,-1.67708,-0.846851,0.557894,-0.541841,446.004,125.731,650.48,1.52029,3.27265,1.56216,1.91712,1,2.8273e-09
220.062,207.029,320.571,75.3804,386.693,0.00249334,-0.539528,0.48964,1.08272,0.633816,195.442,126.483,929.117,2.68938,2.88741,2.84602,0.737472,1,2.8273e-09
282.738,219.039,116.469,27.0398,115.254,0.944335,2.23608,-0.316072,1.14895,0.008152,599.431,123.973,936.053,1.38044,1.58113,0.954641,2.74553,1,2.8273e-09
83.9708,67.1205,169.52,52.7264,201.115,-1.01059,-0.572228,-2.1028,-1.28301,-2.05425,53.432,123.683,436.248,2.23039,2.84133,2.62302,0.538816,1,2.8273e-09
185.724,40.094,177.453,23.8698,161.733,-0.459581,-0.327556,1.0413,1.35045,1.26275,51.607,121.578,554.663,2.10076,3.42838,3.0824,0.523029,1,2.8273e-09
153.155,33.4846,149.396,38.0983,184.72,1.00344,-0.506181,0.655163,-0.780258,0.381521,152.498,122.135,449.923,2.90142,2.90142,2.88044,1.40509,1,2.8273e-09
67.1568,35.5346,119.695,38.7213,156.773,1.04391,0.140828,2.26137,0.63417,2.0427,49.015,125.491,352.619,2.75769,3.13073,2.88431,0.164737,1,2.8273e-09
69.9457,47.1835,125.137,74.6165,164.137,-0.319934,-0.498123,-1.79163,-1.27606,-1.81025,31.9038,124.491,376.14,1.94908,3.1194,2.75042,0.485831,1,2.8273e-09
226.941,76.941,152.2,61.8119,178.679,-0.836035,-0.855368,-0.926428,-0.512607,-0.945067,237.849,124.536,522.215,1.09616,2.98549,2.98412,2.20521,1,2.8273e-09
63.9995,51.464,153.719,15.6482,163.972,1.7252,1.02533,0.425672,2.46236,0.857826,73.4945,125.456,342.832,2.02628,3.07014,2.78155,1.0818,1,2.8273e-09
110.566,69.1135,181.498,49.8927,231.373,-1.83923,-0.822688,-0.208773,1.0295,0.0982266,94.607,125.54,599.539,3.23189,3.23189,2.79047,0.00826263,1,2.8273e-09
136.913,62.7836,179.87,19.8485,183.809,-1.56002,-1.24921,1.71652,0.263409,1.7064,103.777,122.734,991.916,1.69985,4.41668,2.96164,1.12116,1,2.8273e-09
72.2145,47.36,60.6615,51.8773,112.45,0.962996,1.07177,-1.13012,0.807879,-0.327488,33.7556,126.627,343.092,2.57433,3.74302,3.10307,0.539724,1,2.8273e-09
102.121,45.8082,181.525,18.4612,199.08,0.729152,0.997005,0.715929,-1.09065,0.558158,45.5335,120.9,385.215,2.96799,2.96799,2.96796,0.468489,1,2.8273e-09
148.072,58.0745,209.312,32.6233,220.793,-0.4088,-0.846781,0.506626,-0.382473,0.429834,48.0219,124.684,512.456,1.888,3.09571,2.95727,0.212709,1,2.8273e-09
42.747,40.1238,88.4533,21.4714,72.0475,0.500916,-2.72929,-0.19446,-2.05155,-1.12653,204.518,124.721,369.202,1.50689,2.91179,2.82754,1.04116,1,2.8273e-09
75.1414,45.1604,181.441,39.0093,181.22,1.50145,1.87837,-0.914373,-0.728291,-1.0284,35.8079,126.504,632.499,3.15254,3.93408,3.10496,0.352313,1,2.8273e-09
66.2874,48.2271,107.034,90.9405,175.001,1.77944,2.94223,-0.141389,0.676951,0.288489,71.5061,124.334,534.506,3.31323,3.32353,2.71224,0.176502,1,2.8273e-09
152.769,70.3595,154.425,39.4117,158.319,-0.290752,-1.4091,2.21875,1.55189,2.31106,225.324,123.759,944.523,3.02799,3.07948,1.78482,2.26655,1,2.8273e-09
81.9519,59.6352,114.197,92.424,167.846,-1.13653,-0.909937,0.900075,1.18916,1.20521,34.6901,124.13,549.679,3.27484,3.27484,2.56453,0.402136,1,2.8273e-09
39.4707,34.9287,104.831,56.866,106.565,-1.15175,-1.53878,-1.67131,-1.21669,-1.9224,20.0334,126.662,240.438,1.72809,2.53462,2.4808,0.290917,1,2.8273e-09
92.7068,75.5669,139.036,58.1306,181.01,1.97122,2.43177,1.22426,0.190942,1.05084,97.352,124.641,472.9,2.55889,2.55889,2.44744,1.08704,1,2.8273e-09
96.7041,35.463,107.149,34.0796,91.7908,0.811644,-0.716056,0.0655263,-0.910624,-0.305476,149.654,123.631,329.973,1.05296,3.11852,3.02795,2.54965,1,2.8273e-09
149.531,80.0263,123.659,110.934,205.006,0.43712,1.50761,0.292277,0.734587,0.579986,174.479,125.436,507.356,1.83012,2.44138,2.43708,1.17027,1,2.8273e-09
101.783,44.4387,130.872,52.6905,175.471,1.1612,0.799439,1.08213,-0.163157,0.827249,50.3869,122.694,366.707,2.40908,2.78741,2.78629,0.627449,1,2.8273e-09
69.9707,62.0815,78.9153,49.8374,123.349,-2.76979,-2.26898,-1.1482,0.556603,-0.628161,46.7285,125.872,493.862,3.27115,3.27115,2.84093,0.439782,1,2.8273e-09
40.504,35.7851,67.4501,61.5933,51.8951,1.37532,-2.56143,-1.43262,-2.08642,-2.68225,272.75,125.694,482.457,1.98788,3.911,2.72239,1.52647,1,2.8273e-09
60.9847,33.1877,76.612,63.8784,67.7888,0.74873,0.636537,0.472195,0.350129,0.801732,63.2527,123.35,236.674,1.24123,1.422,1.39486,1.53094,1,2.8273e-09
60.6877,36.0187,97.1066,51.2722,86.7004,-0.698052,1.03148,1.405,1.1637,1.81822,107.545,121.617,346.902,1.14014,2.78484,1.82552,1.28083,1,2.8273e-09
81.5621,70.8214,139.531,62.5028,201.384,0.368155,0.561366,2.25405,1.02157,2.00321,70.407,123.587,476.983,2.24177,3.53786,2.9933,0.92226,1,2.8273e-09
50.0853,49.9474,131.536,30.5565,133.978,0.724556,0.0562871,-0.276209,0.949414,-0.0240721,39.5405,123.11,291.088,1.67066,3.22192,3.06255,0.202443,1,2.8273e-09
