ptb1,ptb2,pta1,pta2,ptaa,etab1,etab2,etaa1,etaa2,etaaa,mbb,maa,mb1h,mbbh,drbamin,drba1,dphiba1,dphibb,class,weight
46.0684,0,60.935,19.9697,54.5782,-1.31444,0,-1.13786,1.28756,-0.8458,6.91073,122.473,195.24,195.24,2.52554,2.52554,2.51936,2.85395,3,-2.14551e-09
54.5345,0,77.9762,48.7321,66.3154,-1.3444,0,0.293607,-0.698194,-0.204145,6.27459,125.347,228.003,228.003,0.842483,3.17264,2.71709,1.90362,3,2.14554e-09
130.076,0,186.061,50.7427,200.665,2.42864,0,-0.0428337,-0.175272,-0.0841779,15.7393,126.395,668.382,668.382,1.86387,3.76353,2.83831,0.181921,3,-2.14551e-09
37.5522,0,73.6486,55.443,38.6965,-2.07719,0,-0.306965,0.246296,-0.234819,6.47776,128.255,239.822,239.822,1.01578,3.1194,2.56845,2.09955,3,-2.14554e-09
37.5137,0,53.5522,51.923,9.13509,-0.412143,0,1.57612,0.584666,3.53221,7.09849,118.348,188.807,188.807,1.13568,3.40813,2.76806,2.95405,3,-2.14554e-09
43.7566,0,89.448,42.9148,54.7569,-0.846765,0,-1.63666,-1.79055,-2.54315,5.20005,120.883,185.665,185.665,1.75989,2.23753,2.09347,1.4465,3,-2.14554e-09
42.4036,0,94.1931,53.2566,77.2366,1.89101,0,0.0319768,0.106608,0.112415,6.85964,125.713,250.065,250.065,0.486001,3.13245,2.52116,2.05592,3,-2.14551e-09
32.8956,0,72.0128,44.966,28.5262,0.402267,0,-0.190114,0.675357,0.623367,2.99993,124.302,161.158,161.158,0.704193,2.69957,2.63378,2.97136,3,2.14551e-09
42.0919,0,94.8282,28.1005,69.2688,-1.01852,0,-0.242622,0.944703,0.107222,4.31962,120.551,198.632,198.632,1.4344,2.95041,2.84656,0.422246,3,-2.14551e-09
126.323,0,99.3604,33.9771,108.656,1.34478,0,0.174693,-1.3159,-0.371774,7.99438,122.351,384.594,384.594,0.571799,3.26195,3.04487,2.69386,3,-2.14554e-09
42.9854,0,43.5717,25.6668,43.6981,0.559794,0,0.89599,-1.66466,-0.461789,5.37502,123.33,181.404,181.404,2.12528,3.05637,3.03782,0.0594975,3,2.14554e-09
42.8405,0,99.2933,45.1307,67.4007,-2.28102,0,-2.24128,-2.24353,-2.99523,7.2355,127.732,186.26,186.26,0.966687,2.78453,2.78424,2.55878,3,-2.14551e-09
