nbjet,njjet,ptb1,ptb2,pta1,pta2,ptaa,etab1,etab2,etaa1,etaa2,etaaa,mbb,maa,mb1h,mbbh,drbamin,drba1,dphiba1,dphibb,class,weight
2,0,53.6364,49.2409,71.0355,54.9595,16.6048,-1.05312,-0.170025,0.876615,1.04776,2.82342,112.913,125.354,255.496,317.485,1.21782,1.9362,0.158099,2.92601,4,6.06e-09
1,0,44.1531,0,76.7027,41.0592,49.0702,-0.137337,0,1.148,2.11743,2.43108,7.80954,121.074,212.604,212.604,2.32253,2.32253,1.93444,2.8857,4,6.06e-09
1,0,33.6229,0,63.908,48.9379,21.5946,0.0144751,0,1.86018,0.93081,3.15491,7.46673,123.164,188.784,188.784,2.1673,3.54134,3.02233,1.55878,4,6.06e-09
1,0,61.3494,0,80.0854,58.8081,59.7415,0.116925,0,1.85322,1.7227,2.62118,6.45506,125.709,265.901,265.901,2.00223,3.09546,2.56264,1.80466,4,6.06e-09
1,0,65.4328,0,68.4051,35.2305,52.6994,-0.36972,0,2.25163,0.592092,2.57367,6.88668,127.556,301.218,301.218,0.88257,3.25531,1.93017,1.41733,4,6.06e-09
1,0,32.7626,0,83.1156,47.9826,41.0522,-1.87132,0,0.740987,0.681868,1.6478,4.17773,124.561,275.361,275.361,0.929945,3.63522,2.52798,1.58382,4,6.06e-09
1,0,54.9885,0,69.1278,57.5252,54.5915,-1.3215,0,0.743585,1.33741,1.78615,5.43864,120.435,310.4,310.4,1.63641,3.15307,2.38271,0.925004,4,6.06e-09
1,0,82.2995,0,120.902,38.4424,99.8027,0.0940452,0,-1.25672,-1.59081,-1.77386,9.30162,126.308,302.391,302.391,1.38312,3.16909,2.86681,2.28915,4,6.06e-09
1,0,46.4896,0,82.6975,46.228,55.9905,1.61168,0,2.45496,1.87587,3.10821,9.75864,121.676,188.797,188.797,2.69842,2.73945,2.60643,0.703171,4,6.06e-09
1,0,99.9014,0,113.25,41.9986,91.6654,2.02563,0,-1.95782,-1.87544,-2.44951,11.7282,125.427,921.82,921.82,2.57673,4.8628,2.78908,1.11383,4,6.06e-09
1,1,71.7935,0,100.555,42.7067,137.24,-1.9827,0,-0.368442,1.23573,0.212446,5.83898,123.786,385.28,385.28,3.07776,3.07776,2.62045,0.540852,4,6.06e-09
1,0,37.8102,0,38.3433,34.4013,37.0423,-1.4702,0,-0.923513,1.4069,0.640015,4.02076,122.363,209.757,209.757,2.74558,2.74558,2.69061,1.76206,4,6.06e-09
1,1,76.105,0,108.636,30.8476,77.7886,-1.68848,0,-0.0760363,0.58688,0.139578,6.56164,122.196,297.846,297.846,0.872122,2.77593,2.25961,1.39081,4,6.06e-09
1,0,58.3659,0,79.1017,35.0174,47.3361,-1.49921,0,-1.57846,-0.267518,-2.11349,7.5083,127.533,178.264,178.264,1.05681,1.05681,1.05384,0.817121,4,6.06e-09
2,1,36.9589,33.6837,133.156,28.7994,104.373,2.61722,-0.928168,0.693502,0.95334,1.05516,202.046,124.884,245.059,367.845,2.11227,2.87813,2.14078,0.0707152,4,6.06e-09
1,0,39.812,0,61.9763,59.2016,16.2621,0.900239,0,-1.53618,-1.05284,-3.26156,3.27013,123.667,246.968,246.968,1.71119,2.48944,0.511051,2.03837,4,6.06e-09
1,1,33.4373,0,71.8256,61.6926,58.3268,0.935306,0,-0.947628,-0.464054,-1.37838,5.14962,124.425,198.504,198.504,0.536832,2.91137,2.2205,0.298789,4,6.06e-09
1,0,38.2934,0,65.0441,58.1778,15.4592,-2.18913,0,1.12738,1.27995,3.1846,5.1567,122.609,395.742,395.742,1.54111,3.87949,2.01276,3.06349,4,6.06e-09
2,2,86.3941,44.5789,144.235,24.5419,128.866,1.46272,-2.60827,-1.26324,-2.30369,-1.74135,470.301,126.766,560.31,758.404,0.9794,3.47531,2.15568,0.880913,4,6.06e-09
1,1,67.0905,0,114.187,43.8961,97.2235,-0.299254,0,0.773636,0.477896,1.03256,8.31116,126.41,234.089,234.089,1.962,1.962,1.64267,1.42163,4,6.06e-09
1,0,39.4273,0,76.635,54.1216,25.651,1.37303,0,0.817823,0.732058,2.18991,7.74703,128.335,175.411,175.411,0.868385,2.50544,2.44315,0.422515,4,6.06e-09
1,0,63.9637,0,89.0221,57.2845,98.2159,-1.3262,0,-1.26038,-0.42861,-1.31469,7.79782,124.481,218.191,218.191,1.65219,3.11216,3.11147,1.83746,4,6.06e-09
1,1,34.7912,0,65.265,61.7272,5.67305,-0.450784,0,-2.00705,-2.08235,-5.13587,4.87882,126.955,197.056,197.056,2.12411,2.31336,1.71162,0.788534,4,6.06e-09
1,3,90.339,0,160.202,32.1952,146.257,-2.81825,0,-0.665531,-0.447383,-0.798279,11.1851,125.984,413.102,413.102,0.728136,2.70909,1.64468,0.107622,4,6.06e-09
1,1,37.1116,0,70.7237,51.6463,19.1195,1.59916,0,-0.832335,-0.475141,-2.26818,5.38066,122.8,245.95,245.95,1.45265,2.83171,1.45135,0.260798,4,6.06e-09
1,0,57.318,0,74.229,49.7265,64.6515,-0.0311369,0,-1.5205,-0.482922,-1.78198,6.80195,124.613,219.446,219.446,1.27163,3.33375,2.98256,2.25573,4,6.06e-09
1,0,33.9824,0,68.5035,51.5781,26.303,1.26134,0,-0.729104,-0.0748679,-1.53733,4.28438,123.672,203.653,203.653,0.734809,3.46929,2.84149,2.93289,4,6.06e-09
1,0,35.1031,0,73.789,52.3191,23.5609,-0.871536,0,0.393685,0.124982,1.21855,5.11542,125.014,180.189,180.189,0.498389,2.37692,2.0122,1.70658,4,6.06e-09
1,0,66.8916,0,71.6972,53.7828,21.5451,0.253886,0,1.31535,1.26632,2.98111,10.859,123.654,207.301,207.301,1.2501,2.45643,2.21525,0.942829,4,6.06e-09
1,1,44.5425,0,79.2233,38.5336,50.3172,-1.26668,0,0.780195,1.88161,2.04806,5.9482,124.21,283.556,283.556,2.39577,2.39577,1.24499,2.21078,4,6.06e-09
1,1,67.42,0,47.1025,40.8419,29.2908,0.116229,0,-0.612241,-2.48156,-2.92893,6.2742,125.693,248.119,248.119,0.941748,0.941748,0.596842,0.0633169,4,6.06e-09
1,0,46.4458,0,79.5214,48.8357,31.6005,-1.61111,0,0.731278,0.753003,1.90507,6.32273,124.414,285.554,285.554,1.70658,3.86916,3.07954,1.66167,4,6.06e-09
