nbjet,njjet,ptb1,ptb2,pta1,pta2,ptaa,etab1,etab2,etaa1,etaa2,etaaa,mbb,maa,mb1h,mbbh,met,ht,drbamin,drba1,dphiba1,dphibb,class,weight
1,0,52.1995,0,79.2174,65.5849,78.1608,0.2761,0,0.594282,0.828352,1.14709,2.5607,123.063,199.474,199.474,9.22065,250.907,0.829205,2.49656,2.4762,1.82934,3,1.07831e-09
1,0,52.6828,0,85.2347,47.4279,50.9478,0.404541,0,-0.436825,0.183041,-0.554121,3.76118,128.869,197.282,197.282,32.2244,305.039,0.43861,2.32864,2.17133,2.13179,3,-1.0783e-09
1,0,43.3261,0,68.7456,52.0739,59.0994,1.85955,0,1.0747,-0.000372093,1.19738,7.72734,125.125,208.654,208.654,5.83186,217.231,1.18706,2.63337,2.51369,2.80221,3,1.07831e-09
1,1,66.4045,0,88.5461,47.054,112.228,-0.237123,0,-0.482209,0.937313,0.0577097,2.0002,125.283,227.827,227.827,28.4897,298.067,0.938134,3.05149,3.04163,1.81989,3,-1.0783e-09
1,0,41.6179,0,42.1107,30.2951,56.6872,0.714666,0,1.1537,-1.32277,0.127994,3.31483,121.513,182.18,182.18,9.32814,151.158,2.54317,2.54317,2.50499,0.119775,3,-1.0783e-09
1,0,40.3078,0,65.5136,54.6709,11.2871,-0.574359,0,-0.719156,-0.0258492,-2.2453,6.48778,126.92,163.396,163.396,45.8249,291.003,0.692253,1.32337,1.31542,1.18681,3,-1.0783e-09
1,0,66.1325,0,90.5088,30.6816,84.0898,1.18768,0,1.25603,2.77061,2.2389,12.662,123.697,221.247,221.247,14.704,255.405,2.86738,2.49824,2.4973,1.09603,3,-1.0783e-09
1,0,69.3233,0,81.7246,62.4977,81.1247,1.2793,0,1.08397,0.531574,1.32482,8.34933,125.767,223.491,223.491,11.4216,232.132,1.03573,2.44977,2.44197,0.978769,3,-1.07831e-09
1,0,37.1417,0,79.8551,35.1562,78.1104,-1.73277,0,-0.464353,1.18878,0.177384,3.16722,129.279,241.22,241.22,13.0142,210.38,2.8589,2.8589,2.56211,1.82344,3,-1.0783e-09
1,0,39.4232,0,99.1224,36.8484,63.2964,0.574066,0,2.68842,2.51254,3.40434,2.54187,120.809,250.666,250.666,8.39079,274.793,1.98411,3.59397,2.90623,1.45977,3,-1.07831e-09
1,0,42.9508,0,100.209,42.5935,69.3857,-2.0313,0,-1.84371,-1.25674,-2.39539,5.05651,130.735,191.333,191.333,15.1599,210.773,1.78369,2.98018,2.97427,0.497662,3,-1.0783e-09
1,0,34.4712,0,66.0159,57.3148,42.5783,2.65766,0,0.422659,-0.113324,0.500916,4.78684,120.461,265.65,265.65,4.2385,228.941,1.15296,3.26659,2.38231,1.30962,3,-1.07831e-09
1,0,69.5466,0,119.813,38.7576,113.632,0.299429,0,1.12943,0.362107,1.24203,5.87316,122.895,242.837,242.837,30.5822,294.091,0.445232,3.09781,2.98454,1.66424,3,1.07831e-09
1,0,44.4316,0,109.873,35.4558,75.5315,-0.209197,0,0.0607398,0.348637,0.252704,7.65754,125.462,190.987,190.987,34.6972,224.627,0.632063,3.06376,3.05184,2.59727,3,1.07831e-09
1,0,77.0728,0,49.8179,30.4849,80.2621,-0.657423,0,-2.41227,0.0826471,-1.93901,6.82776,124.508,234.898,234.898,19.9915,287.858,2.84555,3.11116,2.56901,0.804215,3,1.07831e-09
1,0,81.4706,0,95.9008,45.952,109.924,-0.880753,0,0.16277,-1.04989,-0.372754,5.59132,123.909,256.647,256.647,7.39733,295.343,1.09959,2.88595,2.69068,2.50503,3,-1.0783e-09
1,0,76.8033,0,85.4088,24.1802,108.823,-0.305233,0,1.6203,-0.611143,1.33158,4.55556,124.468,285.613,285.613,7.08683,263.477,1.87135,3.519,2.94546,1.8545,3,-1.07831e-09
1,1,135.136,0,212.203,27.1515,224.324,1.90681,0,0.146887,-1.10317,-0.0228503,15.0924,131.178,569.091,569.091,25.8379,478.233,1.26403,3.58118,3.11889,1.3373,3,-1.07831e-09
1,0,36.2373,0,69.2903,35.6021,55.2366,-0.778733,0,-1.43889,0.130552,-1.61374,6.19999,124.024,171.382,171.382,7.65557,177.868,0.269706,2.49164,2.40259,1.41569,3,-1.07831e-09
1,0,34.3652,0,78.1914,30.8036,53.8487,0.222524,0,1.49661,0.162212,1.87192,4.773,118.086,173.999,173.999,23.1106,229.807,1.377,3.05256,2.77395,0.472573,3,1.0783e-09
1,1,39.5307,0,76.2429,42.9259,39.1819,-2.07194,0,-0.0163475,0.479497,0.493579,7.21887,116.135,247.747,247.747,11.901,239.065,0.740698,3.36222,2.66065,0.683069,3,-1.07831e-09
1,0,104.076,0,91.0476,51.5827,127.958,1.36488,0,-1.10429,0.33173,-0.747654,7.70194,124.25,413.988,413.988,15.5722,297.776,0.41287,3.89104,3.00722,2.56641,3,-1.0783e-09
1,0,31.7168,0,87.1493,21.4042,70.9581,-1.11911,0,-1.51003,0.373875,-1.65789,2.97373,124.796,170.278,170.278,6.7132,203.312,0.705117,2.65263,2.62366,1.74414,3,-1.07831e-09
1,0,54.6242,0,140.517,23.6449,119.136,1.47283,0,0.669088,0.829025,0.904813,6.57379,113.318,222.424,222.424,62.0922,298.985,0.69088,2.99042,2.88038,2.70822,3,-1.0783e-09
1,0,32.1839,0,87.0871,41.9178,45.2734,2.12039,0,0.0801897,0.491726,0.592912,2.67963,123.368,216.916,216.916,13.8008,222.645,1.49706,3.50931,2.85532,1.64947,3,1.0783e-09
1,0,50.5926,0,79.3692,49.611,51.9287,-1.31846,0,-0.948013,-1.42213,-1.97698,7.22625,121.824,180.183,180.183,7.57404,257.542,1.76867,1.76867,1.72944,0.495224,3,1.0783e-09
1,0,91.6491,0,113.828,56.6275,123.124,-0.595037,0,0.443809,0.964291,0.837868,12.4535,125.226,311.673,311.673,15.3156,320.268,1.00864,3.06002,2.87829,2.49914,3,-1.07831e-09
1,0,59.0185,0,81.0348,25.3295,57.664,0.0205721,0,-1.15398,-2.94073,-2.51651,4.23912,128.377,263.32,263.32,14.6767,206.231,1.41324,3.18567,2.96124,2.50612,3,-1.07831e-09
1,0,32.9965,0,84.0242,54.6078,68.1486,-1.43782,0,0.727542,1.24198,1.55009,3.09262,125.761,266.15,266.15,7.96016,263.259,2.95507,2.95507,2.01088,1.88009,3,-1.0783e-09
1,0,40.8046,0,83.2566,52.8133,63.5175,0.413717,0,2.1896,1.54971,2.73212,5.99582,127.841,223.125,223.125,24.0307,207.281,1.69443,3.27527,2.75202,1.75108,3,-1.07831e-09
1,0,53.135,0,82.6603,50.8386,83.008,-1.5584,0,-0.233971,0.830394,0.328039,3.92676,127.119,268.829,268.829,10.0766,247.256,1.13949,2.69968,2.35248,1.27421,3,1.0783e-09
1,0,41.4566,0,67.3088,54.4276,69.2276,0.84497,0,-2.44046,-1.27229,-2.61988,3.92988,124.986,338.872,338.872,2.13473,229.885,2.45803,3.82875,1.96602,1.67269,3,-1.0783e-09
1,0,41.1063,0,106.44,22.5662,88.4401,2.22584,0,1.47526,-0.0643951,1.63864,6.21384,125.429,208.647,208.647,34.032,207.554,1.50933,3.16745,3.07723,2.88709,3,1.07831e-09
1,1,45.7971,0,75.5024,71.9695,92.142,-1.32224,0,-2.04339,-1.60383,-2.30688,3.87943,119.686,192.824,192.824,9.76839,268.493,1.67119,2.93338,2.84335,1.13753,3,1.07831e-09
1,0,107.359,0,132.284,22.3809,136.249,-0.437948,0,-0.45945,1.35516,-0.163928,11.9504,134.509,299.447,299.447,36.5289,310.538,2.67805,2.67805,2.67797,0.971983,3,-1.0783e-09
1,0,33.6199,0,64.9019,32.8843,37.5266,-1.02541,0,0.251005,-1.43964,-1.08216,2.76531,125.909,170.194,170.194,6.22702,196.098,0.424019,2.63325,2.30321,1.96147,3,-1.07831e-09
1,0,74.3278,0,83.7003,71.4165,93.8887,0.471606,0,-0.579721,-0.730453,-0.985281,11.5572,124.025,260.947,260.947,29.6556,344.716,0.579895,2.88412,2.68567,2.67149,3,-1.07831e-09
1,0,33.7799,0,73.919,63.5885,58.3426,-0.791606,0,0.230624,0.134483,0.42857,3.62852,124.691,183.455,183.455,4.62178,198.843,0.595423,2.4039,2.17572,1.62678,3,-1.07831e-09
2,0,43.8994,42.8794,53.7377,45.7084,21.0618,-0.870962,1.97847,0.138894,-1.25918,-1.86748,186.314,122.808,164.084,357.816,15.2701,243.651,1.17888,1.17888,0.608231,2.09669,3,-1.07831e-09
1,0,81.4786,0,112.937,23.4101,126.564,-1.63996,0,-2.13851,-0.181226,-2.03676,11.0036,127.971,258.282,258.282,20.1682,293.978,2.62379,3.11104,3.07084,1.05313,3,-1.0783e-09
1,0,83.0201,0,114.481,36.6417,81.3962,1.55218,0,-1.0748,-1.20282,-1.6479,14.4245,127.6,458.215,458.215,11.3564,259.758,1.56227,4.01884,3.04139,1.9076,3,-1.07831e-09
1,0,66.2782,0,103.06,40.0697,69.1246,2.52356,0,0.521497,0.196212,0.829325,9.64147,127.078,322.74,322.74,2.20591,253.602,0.433267,3.32098,2.64964,0.552349,3,-1.0783e-09
1,0,66.6232,0,102.182,34.877,75.0554,1.87184,0,0.415685,1.03782,0.98748,7.75071,120.733,247.898,247.898,4.57406,278.568,1.34808,3.44058,3.11724,0.32089,3,-1.07831e-09
