nbjet,njjet,ptb1,ptb2,pta1,pta2,ptaa,etab1,etab2,etaa1,etaa2,etaaa,mbb,maa,mb1h,mbbh,met,ht,drbamin,drba1,dphiba1,dphibb,class,weight
1,0,58.7613,0,83.3065,37.4805,91.1531,0.51057,0,1.73849,0.251924,1.69228,9.42635,120.618,215.066,215.066,6.60162,289.618,0.75967,3.16518,2.91729,2.05743,4,3.0383e-09
1,0,45.3566,0,96.7258,42.8376,80.2833,-0.647456,0,0.229606,0.80056,0.69582,3.50846,120.085,206.348,206.348,13.4238,253.802,1.61631,3.08667,2.95944,1.35953,4,3.0383e-09
1,2,40.4094,0,70.2814,50.3636,57.6148,2.83177,0,0.109521,1.32283,1.27944,6.11469,130.835,268.439,268.439,38.7775,363.785,2.97102,2.97102,1.19008,1.72317,4,3.0383e-09
1,2,36.52,0,84.0918,47.4644,50.869,2.37051,0,0.238232,0.592262,0.869344,2.90535,123.389,231.92,231.92,8.61054,345.081,2.62462,2.62462,1.53037,2.29242,4,3.0383e-09
1,0,32.1869,0,45.9667,34.0861,17.7349,-1.80852,0,1.40925,-0.61384,2.02764,4.87821,122.537,238.202,238.202,4.59856,162.153,1.33749,3.57405,1.55558,3.10853,4,3.0383e-09
2,0,37.6475,37.297,64.6028,60.8317,67.7478,2.71996,-1.00146,2.44815,1.37735,2.66378,245.739,126.876,188.808,439.837,21.0744,294.542,3.05334,2.40028,2.38484,2.47252,4,3.0383e-09
1,0,51.87,0,92.2186,47.5455,55.3447,0.829315,0,0.453163,0.41437,0.981891,7.38192,128.365,194.897,194.897,7.07394,229.182,1.03781,2.65863,2.63188,1.69823,4,3.0383e-09
1,0,68.4564,0,98.594,39.2471,79.0262,0.996126,0,0.207856,-0.690496,-0.109418,11.6441,126.861,243.971,243.971,19.1582,300.844,1.31454,3.1988,3.10015,0.211488,4,3.0383e-09
1,1,67.6213,0,54.1695,44.7358,39.7254,-2.68841,0,-1.15171,-2.844,-3.14467,10.7743,130.257,215.592,215.592,4.85482,274.252,1.65738,2.76365,2.29703,2.53399,4,3.0383e-09
1,0,35.0479,0,72.7919,68.9478,79.2769,0.855099,0,0.686778,1.3372,1.53924,3.2956,126.509,179.454,179.454,40.2078,229.53,1.39046,2.22168,2.21529,2.49347,4,3.0383e-09
