nbjet,ptb1,ptb2,pth,etab1,etab2,etah,mbb,mb1h,mbbh,mt4,dphibb,class,weight
0,9.55294,4.99018,11.6441,-0.822326,-0.656916,-3.71204,0,138.355,148.048,35.8236,1.36563,1,3.05693e-05
0,6.56106,2.75848,8.94516,2.60444,5.0922,4.16842,13.594,136.146,175.046,34.7903,0.624777,1,3.05693e-05
0,4.96817,0.472702,5.37499,1.19468,2.50728,3.65442,19.0957,132.204,137.254,34.2626,0.558053,1,3.05693e-05
0,67.8339,14.6244,70.3043,-0.363308,-1.18178,1.98151,10.8817,281.79,329.742,56.7141,1.50655,1,3.05693e-05
0,15.0246,14.8981,12.3492,-3.24937,-3.48698,3.44826,51.7981,424.802,623.272,39.2769,2.29079,1,3.05693e-05
0,65.8007,49.7481,94.2218,0.240633,0.253539,-2.9679,29.2174,426.041,558.622,68.1272,1.24859,1,3.05693e-05
0,71.5663,8.36347,67.5342,-1.4442,-0.149989,1.80194,67.624,400.819,410.953,55.8789,2.12582,1,3.05693e-05
0,5.5647,4.26925,3.03072,3.20739,2.88598,6.70431,58.7643,132.412,139.836,34.7446,2.57178,1,3.05693e-05
0,15.9628,4.35972,15.533,2.41578,1.26433,-1.6704,13.9735,216.852,225.159,37.3097,1.8068,1,3.05693e-05
0,62.0145,20.275,66.4002,2.02624,3.69284,0.988468,23.829,255.079,376.234,56.1536,1.51027,1,3.05693e-05
0,29.9624,3.14579,28.9101,0.0370139,0.293835,-2.52671,82.7389,176.606,185.849,41.1258,1.96183,1,3.05693e-05
0,27.0535,17.327,44.3762,-1.66373,-1.56253,1.08419,21.854,217.994,257.516,44.5381,0.028406,1,3.05693e-05
0,29.9889,3.91636,30.6949,-3.8917,-6.06395,-4.37972,10.4477,170.086,203.705,41.348,1.45344,1,3.05693e-05
0,78.484,1.40122,77.6707,1.42909,-4.47645,2.95011,33.3782,246.556,534.495,57.7299,2.19734,1,3.05693e-05
0,27.0375,12.9831,28.489,1.94305,-0.606965,2.68902,201.548,160.252,205.311,42.3927,1.69642,1,3.05693e-05
0,30.4747,11.1696,34.9632,0.713255,0.905898,3.60729,69.3604,195.755,215.761,43.218,1.31999,1,3.05693e-05
0,29.9509,0.761313,30.6602,-2.6355,-5.43289,-1.66255,25.3017,219.771,247.882,41.009,0.376365,1,3.05693e-05
0,51.7907,11.8512,58.0237,-0.341298,-0.454545,0.565717,21.2074,196.089,210.849,50.6666,1.11166,1,3.05693e-05
0,50.4007,26.1937,75.6552,2.15616,1.58441,1.53068,29.0518,222.387,251.423,55.851,0.330609,1,3.05693e-05
0,38.6047,3.78596,35.0246,2.43335,-1.43756,3.80232,26.8758,168.769,251.881,43.7348,2.8266,1,3.05693e-05
0,24.3967,20.2201,11.3626,0.807065,-2.22564,4.44558,89.0759,167.103,472.857,42.8033,2.66121,1,3.05693e-05
0,5.05059,4.39193,2.19055,-0.847557,-0.364049,-5.41746,106.126,134.195,145.34,34.6663,2.69429,1,3.05693e-05
0,71.6602,4.80904,76.1949,0.184007,2.8007,-0.292387,13.7363,220.919,259.449,56.2752,0.35039,1,3.05693e-05
0,23.603,13.9809,36.1771,0.410414,1.41032,-2.82602,64.8206,201.605,280.824,42.2654,0.568373,1,3.05693e-05
0,61.3752,28.8289,78.9981,-1.81994,-1.04859,-0.352056,23.6561,270.007,302.126,59.6721,1.08807,1,3.05693e-05
0,69.2761,53.5475,121.105,-2.5822,-2.22992,0.612569,56.1947,529.381,655.026,74.317,0.337788,1,3.05693e-05
0,12.415,7.519,10.0997,-2.2583,-2.26862,5.43191,31.4694,539.75,678.791,36.9368,2.19201,1,3.05693e-05
0,44.9003,39.4482,82.4326,-0.124588,-0.299437,-0.149307,19.9521,190.899,235.383,58.6641,0.427988,1,3.05693e-05
0,55.2176,4.02889,54.6146,-0.400712,-1.25658,1.52151,21.6989,220.848,233.384,49.5514,1.75719,1,3.05693e-05
0,198.617,10.7141,206.811,-1.97419,-1.95172,0.992285,30.4178,965.568,990.722,113.03,0.717381,1,3.05693e-05
0,102.985,44.56,147.322,-0.611878,-0.592457,1.40187,39.4516,409.335,482.261,85.2851,0.119714,1,3.05693e-05
0,6.00332,4.78014,10.5201,1.45004,2.26415,1.62015,13.5147,137.238,154.786,35.0159,0.445838,1,3.05693e-05
0,67.5423,11.1041,76.1963,0.606987,1.55588,-0.576554,11.3709,233.813,261.065,56.5648,0.727129,1,3.05693e-05
0,44.4622,2.01488,45.921,-0.487042,-1.25752,-2.07164,35.1274,184.468,190.147,45.8046,0.776755,1,3.05693e-05
0,175.182,12.1492,187.126,-1.57391,-3.03097,-0.0202523,19.9611,525.91,585.233,103.348,0.190119,1,3.05693e-05
0,22.2164,8.3971,29.3798,-1.57981,-1.58067,2.87553,74.7875,276.487,315.984,40.2233,0.64079,1,3.05693e-05
0,18.4114,14.909,32.1487,2.06779,1.67083,1.91477,13.9631,162.291,182.045,40.9563,0.534994,1,3.05693e-05
0,73.0673,70.2321,41.6795,1.15278,1.4567,-3.83475,15.031,682.952,1035.02,68.8506,2.55264,1,3.05693e-05
0,43.4052,16.9395,58.8172,1.5494,2.29334,1.23912,139.188,195.354,231.386,49.8673,0.502831,1,3.05693e-05
0,103.466,70.0424,172.964,0.903391,1.91144,1.17546,26.574,309.551,413.755,96.8007,0.161541,1,3.05693e-05
0,6.85793,2.22418,5.41246,-1.65058,-1.55978,-5.36233,91.1084,135.996,146.758,34.7392,2.40917,1,3.05693e-05
0,96.7585,42.9923,138.706,-1.84292,-1.29675,-2.607,13.4397,287.568,348.544,81.719,0.265267,1,3.05693e-05
0,98.3588,18.7201,83.4126,2.59368,3.52214,0.394042,41.3237,437.73,523.58,67.0282,2.55514,1,3.05693e-05
0,50.6009,20.8998,63.9174,-0.0130978,-0.716614,1.38205,92.5469,201.864,241.211,53.1761,1.0304,1,3.05693e-05
0,42.2206,22.3707,63.9557,-1.91563,-1.26397,0.724812,40.9805,280.951,314.447,51.4557,0.295184,1,3.05693e-05
0,24.4782,12.2562,35.264,4.31266,3.15603,3.17904,25.2069,230.777,246.828,42.0134,0.603116,1,3.05693e-05
0,41.2743,7.71493,33.868,-3.70218,-3.22524,-3.56392,27.5616,207.143,217.232,45.0559,2.88523,1,3.05693e-05
0,30.09,17.1955,45.1723,-1.38557,-1.05368,-0.882457,39.8279,176.622,197.224,45.3217,0.624601,1,3.05693e-05
0,20.1402,19.5571,15.2377,-1.40194,1.62673,1.92102,19.1684,177.993,223.406,41.7061,2.35419,1,3.05693e-05
0,44.074,5.22818,44.0841,-1.81257,-2.50952,0.547112,93.8831,252.186,273.526,46.0182,1.62821,1,3.05693e-05
0,13.6202,7.75861,20.2176,2.25407,2.4234,-2.59683,27.5868,240.494,293.931,37.5733,0.689669,1,3.05693e-05
0,38.764,18.6398,56.5477,2.11821,2.48782,0.382934,12.3284,241.71,295.328,48.8872,0.369536,1,3.05693e-05
0,24.3087,21.9001,4.23488,2.28952,2.23602,4.94466,17.25,153.05,179.499,43.0798,2.99049,1,3.05693e-05
0,4.80368,3.85383,3.54447,2.70556,-1.4105,-3.60478,47.0772,174.938,183.482,34.544,2.32547,1,3.05693e-05
0,14.1967,10.6938,9.11506,-1.39954,-1.57971,-2.57892,36.2271,145.521,162.644,38.0321,2.44461,1,3.05693e-05
0,6.83624,5.70456,3.76493,1.70122,1.1692,-4.08178,25.2698,162.509,179.586,35.2531,2.55835,1,3.05693e-05
0,14.5359,2.90662,16.1536,-0.585679,2.73952,-3.70088,16.1448,150.633,234.081,36.775,1.06152,1,3.05693e-05
0,157.371,9.59541,166.916,-0.450482,0.238326,-2.74022,35.1237,576.574,609.527,94.1911,0.105717,1,3.05693e-05
0,73.4398,42.3525,63.308,-1.42192,0.381434,1.64828,34.8461,369.934,417.194,64.0898,2.10723,1,3.05693e-05
0,58.1674,20.106,76.5326,-0.347897,-0.527781,2.16481,150.706,287.536,331.957,56.4106,0.484741,1,3.05693e-05
0,24.1348,17.7445,28.6712,1.24519,1.7065,-2.84816,20.7203,247.126,337.98,42.8228,1.65885,1,3.05693e-05
0,58.678,15.3856,59.3504,-1.52378,-0.70451,-3.29274,33.4918,215.113,250.97,53.3528,1.65806,1,3.05693e-05
0,220.936,2.86063,218.744,-1.49104,-3.09524,-1.28581,53.188,479.11,488.518,119.656,2.44827,1,3.05693e-05
0,13.0818,2.59526,14.6763,-1.18308,-2.19189,-3.45291,68.4435,140.177,145.806,36.3494,0.985244,1,3.05693e-05
0,79.4455,27.0297,106.409,-2.90661,-1.19239,-1.26719,13.2504,359.395,390.693,67.8074,0.0809544,1,3.05693e-05
0,24.9498,12.4003,30.8215,1.13322,1.23193,3.39749,91.8749,161.992,178.585,41.8787,1.28624,1,3.05693e-05
0,69.1763,5.159,68.4487,-3.36333,-3.8183,-2.68758,23.5411,259.41,270.672,54.7485,1.74933,1,3.05693e-05
0,10.1921,5.42269,15.5938,-2.92451,-3.8274,-4.18129,34.248,139.913,154.625,36.1521,0.108988,1,3.05693e-05
0,30.047,7.81061,37.6093,3.35381,3.00479,-2.64176,12.1428,704.19,764.46,42.5534,0.283557,1,3.05693e-05
0,32.4309,8.36686,39.9694,1.11058,0.138872,-2.40936,15.2386,256.355,269.041,43.4357,0.501786,1,3.05693e-05
0,23.3874,9.69088,31.8254,0.191053,0.151715,1.13336,23.2729,152.807,164.144,40.9389,0.608315,1,3.05693e-05
0,11.6829,3.22688,8.55123,3.66436,3.51254,4.61893,14.0221,155.734,163.366,35.9631,2.93394,1,3.05693e-05
0,62.8482,7.09558,66.8616,-1.01008,-4.31693,2.84859,17.4929,475.449,927.097,53.3584,1.01547,1,3.05693e-05
0,82.5079,11.2829,79.4433,0.98966,0.700766,0.448394,108.826,245.321,257.994,60.7681,1.91234,1,3.05693e-05
0,170.787,41.2841,210.135,-0.856953,0.538256,-2.17824,53.1476,485.17,634.212,114.234,0.342194,1,3.05693e-05
0,77.5336,68.3233,91.8464,-2.20682,-0.0982544,-0.653009,130.74,316.872,420.029,75.3263,1.78419,1,3.05693e-05
0,97.9905,38.6492,132.776,-0.845858,-0.96647,-1.33262,216.095,279.41,321.047,79.8583,0.530465,1,3.05693e-05
0,9.96381,7.99688,5.92722,0.263951,1.28512,5.17554,34.8015,158.892,171.163,36.4105,2.50448,1,3.05693e-05
0,161.155,159.307,319.013,-0.617903,-0.255933,-0.763471,21.8732,478.599,675.096,165.81,0.190345,1,3.05693e-05
0,20.4023,6.68185,26.2305,-0.340731,-0.594981,-0.619253,66.524,148.909,157.775,39.2519,0.58613,1,3.05693e-05
0,46.4574,46.3568,65.4196,2.9012,1.75761,-1.64997,13.1852,584.504,675.425,58.6046,1.57719,1,3.05693e-05
0,191.633,51.3723,242.842,0.617214,1.45967,-1.16718,87.1917,633.986,782.367,129.107,0.0896804,1,3.05693e-05
0,53.6982,28.2706,81.6212,1.07811,1.01489,0.394286,87.1641,216.226,250.635,57.9768,0.193848,1,3.05693e-05
